,customer_id,store_id,first_name,last_name,email,activebool,create_date,last_update,active,address_id,address,address2,district,postal_code,phone,last_updateaddress_id,city_id,city,last_updatecity_id,country_id,country,last_updatecountry_id
1.0,367,1,Adam,Gooch,adam.gooch@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,374.0,433 Florencia Street,,Chihuahua,91330.0,561729882725.0,2006-02-15 09:45:30,251.0,Kabul,2006-02-15 09:45:25,2.0,Algeria,2006-02-15 09:44:00
2.0,171,2,Dolores,Wagner,dolores.wagner@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,176.0,29 Pyongyang Loop,,Batman,47753.0,734780743462.0,2006-02-15 09:45:30,59.0,Batna,2006-02-15 09:45:25,3.0,American Samoa,2006-02-15 09:44:00
2.0,187,2,Brittany,Riley,brittany.riley@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,192.0,1166 Changhwa Street,,Caraga,58852.0,650752094490.0,2006-02-15 09:45:30,63.0,Bchar,2006-02-15 09:45:25,3.0,American Samoa,2006-02-15 09:44:00
2.0,515,1,Andre,Rapp,andre.rapp@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,524.0,680 A Corua (La Corua) Manor,,Sivas,49806.0,158326114853.0,2006-02-15 09:45:30,483.0,Skikda,2006-02-15 09:45:25,3.0,American Samoa,2006-02-15 09:44:00
3.0,310,2,Daniel,Cabral,daniel.cabral@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,317.0,780 Kimberley Way,,Tabuk,17032.0,824396883951.0,2006-02-15 09:45:30,516.0,Tafuna,2006-02-15 09:45:25,4.0,Angola,2006-02-15 09:44:00
4.0,360,2,Ralph,Madrigal,ralph.madrigal@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,367.0,1163 London Parkway,,Par,6066.0,675120358494.0,2006-02-15 09:45:30,67.0,Benguela,2006-02-15 09:45:25,5.0,Anguilla,2006-02-15 09:44:00
4.0,470,1,Gordon,Allard,gordon.allard@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,477.0,1786 Salinas Place,,Nam Ha,66546.0,206060652238.0,2006-02-15 09:45:30,360.0,Namibe,2006-02-15 09:45:25,5.0,Anguilla,2006-02-15 09:44:00
5.0,333,2,Andrew,Purdy,andrew.purdy@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,340.0,507 Smolensk Loop,,Sousse,22971.0,80303246192.0,2006-02-15 09:45:30,493.0,South Hill,2006-02-15 09:45:25,6.0,Argentina,2006-02-15 09:44:00
6.0,412,2,Allen,Butterfield,allen.butterfield@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,419.0,397 Sunnyvale Avenue,,Guanajuato,55566.0,680851640676.0,2006-02-15 09:45:30,20.0,Almirante Brown,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,328,2,Jeffrey,Spear,jeffrey.spear@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,335.0,587 Benguela Manor,,Illinois,91590.0,165450987037.0,2006-02-15 09:45:30,43.0,Avellaneda,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
